participant:assignmentId,condition,state,trial,blockTrial,trialStartTime,monster,family,category,preferredFood,choice,correct,rt
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,153,118,530632,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,736
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,154,119,532295,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1000
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,155,120,534316,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1297
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,156,121,536604,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1474
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,157,122,539236,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,781
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,158,123,540823,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,10611
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,159,124,552646,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1163
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,160,125,554605,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,808
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,161,126,557044,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1548
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,162,127,559405,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,787
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,163,128,561034,GreenMonster_3_1,GreenMonster,category1D,oranges,bananas,False,1613
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,164,129,564084,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,932
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,165,130,565951,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,826
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,166,131,568893,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,8034
