# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
2.300000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,1.850000000000000000e+02,7.399999999999999911e-01
2.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e+01,2.988047808764940361e-01,7.200000000000000000e+01,9.599999999999999645e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.300000000000000000e+01,1.713147410358565603e-01,4.200000000000000000e+01,9.799999999999999822e-01
2.500000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,1.673306772908366435e-01,2.600000000000000000e+01,6.199999999999999956e-01
2.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,9.100000000000000000e+01,3.625498007968127601e-01,4.600000000000000000e+01,5.100000000000000089e-01
2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.100000000000000000e+01,2.839999999999999747e-01,3.100000000000000000e+01,4.400000000000000022e-01
2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e+01,2.999999999999999889e-01,3.500000000000000000e+01,4.699999999999999734e-01
2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.700000000000000000e+01,6.800000000000000488e-02,7.000000000000000000e+00,4.099999999999999756e-01
2.600000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.700000000000000000e+01,3.479999999999999760e-01,4.500000000000000000e+01,5.200000000000000178e-01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,2.320000000000000118e-01,2.500000000000000000e+01,4.299999999999999933e-01
2.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01,1.479999999999999927e-01,1.900000000000000000e+01,5.100000000000000089e-01
2.700000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.500000000000000000e+01,2.600000000000000089e-01,2.600000000000000000e+01,4.000000000000000222e-01
2.700000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+01,3.599999999999999867e-01,4.300000000000000000e+01,4.799999999999999822e-01
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.590000000000000000e+02,1.000000000000000000e+00,2.420000000000000000e+02,9.300000000000000488e-01
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.390000000000000000e+02,9.559999999999999609e-01,1.940000000000000000e+02,8.100000000000000533e-01
2.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,4.399999999999999745e-02,7.000000000000000000e+00,6.400000000000000133e-01
3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,4.399999999999999745e-02,5.000000000000000000e+00,4.500000000000000111e-01
3.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.770000000000000000e+02,7.079999999999999627e-01,1.580000000000000000e+02,8.900000000000000133e-01
3.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,3.100000000000000000e+01,1.239999999999999991e-01,1.000000000000000000e+01,3.200000000000000067e-01
3.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,3.100000000000000000e+01,1.239999999999999991e-01,1.700000000000000000e+01,5.500000000000000444e-01
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.530000000000000000e+02,1.000000000000000000e+00,2.350000000000000000e+02,9.300000000000000488e-01
3.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.250996015936255201e-01,1.620000000000000000e+02,8.900000000000000133e-01
3.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,2.310756972111553675e-01,4.600000000000000000e+01,7.900000000000000355e-01
3.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,2.390438247011952150e-02,3.000000000000000000e+00,5.000000000000000000e-01
3.200000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,1.992031872509960125e-02,1.000000000000000000e+00,2.000000000000000111e-01
3.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,1.992031872509960055e-01,4.600000000000000000e+01,9.200000000000000400e-01
3.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,3.984063745019920111e-01,9.700000000000000000e+01,9.699999999999999734e-01
3.300000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,5.100000000000000000e+01,2.031872509960159501e-01,2.800000000000000000e+01,5.500000000000000444e-01
3.300000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+01,1.992031872509960055e-01,2.700000000000000000e+01,5.400000000000000355e-01
3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.560000000000000000e+02,6.215139442231075728e-01,1.430000000000000000e+02,9.200000000000000400e-01
3.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,4.780876494023904300e-02,6.000000000000000000e+00,5.000000000000000000e-01
3.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.300000000000000000e+01,3.306772908366533703e-01,4.600000000000000000e+01,5.500000000000000444e-01
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.900000000000000000e+01,2.760000000000000231e-01,6.100000000000000000e+01,8.800000000000000044e-01
3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,2.359999999999999876e-01,3.000000000000000000e+01,5.100000000000000089e-01
3.500000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,8.900000000000000000e+01,3.559999999999999831e-01,5.100000000000000000e+01,5.699999999999999512e-01
